"podcast","spotify","youtube","instagram"
"huberman-lab","https://open.spotify.com/show/79CkJF3UJTHFV8Dse3Oy0P?si=dfa5c9935a534ff5","https://www.youtube.com/@hubermanlab","https://www.instagram.com/hubermanlab"
"jre","https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk","https://www.youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ","https://www.instagram.com/joerogan"
"lex-fridman","https://open.spotify.com/show/2MAi0BvDc6GTFvKFPXnkCL","https://www.youtube.com/@lexfridman","https://www.instagram.com/lexfridman"
"call-her-daddy","ttps://open.spotify.com/show/7bnjJ7Va1nM07Um4Od55dW","https://www.youtube.com/@call-her-daddy","https://www.instagram.com/callherdaddy"
"iced-coffee-hour","https://open.spotify.com/show/5c2uoXBQkOjIiCOf60jJj7?si=4b5e948c773b487c","https://www.youtube.com/@TheIcedCoffeeHour","https://www.instagram.com/icedcoffeehour"
"all-in","https://open.spotify.com/show/2IqXAVFR4e0Bmyjsdc8QzF","https://www.youtube.com/@allin","https://www.instagram.com/theallinpod"
"tigerbelly","https://open.spotify.com/show/7auys1ONxyhCuL9I9aXvZm","https://www.youtube.com/c/tigerbelly","https://www.instagram.com/tigerbelly",""
"bad-friends","https://open.spotify.com/show/3gaGfrqgnVqUBNDdtv5p3S","https://www.youtube.com/c/BadFriends","https://www.instagram.com/badfriendspod"
"impaulsive","https://open.spotify.com/show/36PzTdM4rvRPaJYdBW1ZNa","https://www.youtube.com/@Impaulsive","https://www.instagram.com/impaulsiveshow"
"conan","https://open.spotify.com/show/3u26tlz7A3WyWRtXliX9a9","https://www.youtube.com/@TeamCoco","https://www.instagram.com/teamcocopodcasts"
"no-jumper","https://open.spotify.com/show/4z4yCTjwXa4an6sBGIe7m5","https://www.youtube.com/@NoJumper","https://www.instagram.com/nojumper"
"impact-theory","https://open.spotify.com/show/1nARKz2vTIOb7gC9dusE4b","https://www.youtube.com/c/TomBilyeu","https://www.instagram.com/impacttheory"